id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,geometry span,107,11,34,79,213,ship,baseline,monotonic-signal,raise-signal
m002,g002,atlas pressure,115,38,22,58,274,ship,edge,drag-penalty,drop-slack
m003,g003,shader drift,39,36,45,92,73,hold,recovery,confidence-floor,raise-drag
m004,g004,render budget,48,67,27,18,64,hold,negative,lane-boundary,lower-confidence
m005,g005,geometry span,109,50,44,91,230,ship,baseline,monotonic-signal,raise-signal
m006,g006,atlas pressure,42,0,33,82,83,hold,edge,drag-penalty,drop-slack
m007,g007,shader drift,104,26,36,82,218,ship,recovery,confidence-floor,raise-drag
m008,g008,render budget,95,72,28,31,184,ship,negative,lane-boundary,lower-confidence
m009,g009,geometry span,103,62,8,72,372,ship,baseline,monotonic-signal,raise-signal
m010,g010,atlas pressure,53,14,42,91,92,hold,edge,drag-penalty,drop-slack
m011,g011,shader drift,80,44,46,62,98,hold,recovery,confidence-floor,raise-drag
m012,g012,render budget,53,21,39,82,96,hold,negative,lane-boundary,lower-confidence
m013,g013,geometry span,52,47,36,30,31,hold,baseline,monotonic-signal,raise-signal
m014,g014,atlas pressure,41,51,41,45,18,hold,edge,drag-penalty,drop-slack
m015,g015,shader drift,88,72,52,57,102,hold,recovery,confidence-floor,raise-drag
m016,g016,render budget,115,10,6,54,318,ship,negative,lane-boundary,lower-confidence
m017,g017,geometry span,53,51,30,34,75,hold,baseline,monotonic-signal,raise-signal
m018,g018,atlas pressure,56,28,44,65,50,hold,edge,drag-penalty,drop-slack
m019,g019,shader drift,65,36,17,42,165,ship,recovery,confidence-floor,raise-drag
m020,g020,render budget,73,37,37,65,128,watch,negative,lane-boundary,lower-confidence
m021,g021,geometry span,46,40,10,57,196,ship,baseline,monotonic-signal,raise-signal
m022,g022,atlas pressure,66,33,19,91,252,ship,edge,drag-penalty,drop-slack
m023,g023,shader drift,40,13,11,30,98,hold,recovery,confidence-floor,raise-drag
m024,g024,render budget,31,35,19,77,156,ship,negative,lane-boundary,lower-confidence
m025,g025,geometry span,83,26,7,81,319,ship,baseline,monotonic-signal,raise-signal
m026,g026,atlas pressure,99,36,23,81,281,ship,edge,drag-penalty,drop-slack
m027,g027,shader drift,71,25,19,43,158,ship,recovery,confidence-floor,raise-drag
m028,g028,render budget,104,16,29,58,195,ship,negative,lane-boundary,lower-confidence
m029,g029,geometry span,89,14,18,90,282,ship,baseline,monotonic-signal,raise-signal
m030,g030,atlas pressure,72,5,14,61,201,ship,edge,drag-penalty,drop-slack
m031,g031,shader drift,71,54,20,94,284,ship,recovery,confidence-floor,raise-drag
m032,g032,render budget,51,41,35,16,0,hold,negative,lane-boundary,lower-confidence
m033,g033,geometry span,77,72,27,44,179,ship,baseline,monotonic-signal,raise-signal
m034,g034,atlas pressure,80,44,24,56,196,ship,edge,drag-penalty,drop-slack
m035,g035,shader drift,89,14,31,66,169,ship,recovery,confidence-floor,raise-drag
m036,g036,render budget,53,31,21,20,72,hold,negative,lane-boundary,lower-confidence
m037,g037,geometry span,92,77,26,64,259,ship,baseline,monotonic-signal,raise-signal
m038,g038,atlas pressure,57,56,30,41,102,hold,edge,drag-penalty,drop-slack
m039,g039,shader drift,48,30,40,77,80,hold,recovery,confidence-floor,raise-drag
m040,g040,render budget,47,49,15,43,154,ship,negative,lane-boundary,lower-confidence
